---------List---------


Method				Description																							Return Type
add()				Add an item to the list																				boolean|void
addAll()			Add a collection of items to the list																boolean
clear()				Remove all items from the list																		void
clone()				Create a copy of the ArrayList																		Object
contains()			Checks whether an item exist in the list															boolean
forEach()			Perform an action on every item in the list															void
get()				Return the item at a specific position in the list													T
indexOf()			Return the position of the first occurrence of an item in the list									int
isEmpty()			Checks whether the list is empty																	boolean
lastIndexOf()		Return the position of the last occurrence of an item in the list									int
remove()			Remove an item from the list																		boolean|T
removeAll()			Remove a collection of items from the list															boolean
removeIf()			Remove all items from the list which meet a specified condition										boolean
replaceAll()		Replace each item in the list with the result of an operation on that item							void
retainAll()			Remove all elements from the list which do not belong to a specified collection						boolean
set()				Replace an item at a specified position in the list													T
size()				Return the number of items in the list																int
sort()				Sort the list																						void
