-------Map---------

Method					Description																								Return Type
clear()					Remove all entries from the map.																		void
clone()					Create a copy of the HashMap.																			Object
containsKey()			Indicate if an entry with the specified key exists in the map											boolean
containsValue()			Indicate if an entry with the specified value exists in the map											boolean
entrySet()				Return a set of all entries in the map																	Set< Map.Entry<K,V> >
forEach()				Perform an action on every entry in the map																void
get()					Return the value of the entry with a specified key														V
isEmpty()				Indicate whether the map is empty																		boolean
keySet()				Return a set of all keys in the map																		Set<K>
put()					Write an entry into the map																				V
putAll()				Write all of the entries from another map into this one													void
putIfAbsent()			Write an entry into the map but only if an entry with the same key does not already exist				V
remove()				Remove an entry from the map																			V|boolean
replace()				Write to an entry in the map only if it exists															V|boolean
replaceAll()			Replaces the value of every entry with the result of an operation										void
size()					Return the number of entries in the map																	int
values()				Return a collection containing all of the values in the map												Collection<V>
